,FREQ,REF_AREA,SEX,AGE,EDU_LEV_HIGHEST,TIME_PERIOD,OBS_VALUE
447,A,ITCD,2,Y15-64,11,2024,53.494
448,A,ITCD,2,Y15-64,13,2023,110.356
449,A,ITCD,2,Y15-64,13,2024,88.716
450,A,ITCD,2,Y15-64,7,2023,154.748
451,A,ITCD,2,Y15-64,7,2024,127.816
452,A,ITCD,2,Y15-64,99,2023,316.316
453,A,ITCD,2,Y15-64,99,2024,270.026
454,A,ITCD,2,Y15-74,11,2023,51.258
455,A,ITCD,2,Y15-74,11,2024,53.902
456,A,ITCD,2,Y15-74,13,2023,113.028
457,A,ITCD,2,Y15-74,13,2024,90.725
458,A,ITCD,2,Y15-74,7,2023,155.676
459,A,ITCD,2,Y15-74,7,2024,129.217
460,A,ITCD,2,Y15-74,99,2023,319.963
461,A,ITCD,2,Y15-74,99,2024,273.844
462,A,ITCD,2,Y25-34,99,2023,63.43
463,A,ITCD,2,Y25-34,99,2024,56.48
464,A,ITCD,2,Y35-44,99,2023,71.474
465,A,ITCD,2,Y35-44,99,2024,59.783
466,A,ITCD,2,Y35-49,11,2023,17.435
467,A,ITCD,2,Y35-49,11,2024,20.004
468,A,ITCD,2,Y35-49,13,2023,44.136
469,A,ITCD,2,Y35-49,13,2024,33.706
470,A,ITCD,2,Y35-49,7,2023,52.039
471,A,ITCD,2,Y35-49,7,2024,44.622
472,A,ITCD,2,Y35-49,99,2023,113.609
473,A,ITCD,2,Y35-49,99,2024,98.332
474,A,ITCD,2,Y45-54,99,2023,81.419
475,A,ITCD,2,Y45-54,99,2024,71.206
476,A,ITCD,2,Y50-64,11,2023,6.906
477,A,ITCD,2,Y50-64,11,2024,8.437
478,A,ITCD,2,Y50-64,13,2023,42.444
479,A,ITCD,2,Y50-64,13,2024,34.525
480,A,ITCD,2,Y50-64,7,2023,33.241
481,A,ITCD,2,Y50-64,7,2024,30.188
482,A,ITCD,2,Y50-64,99,2023,82.59
483,A,ITCD,2,Y50-64,99,2024,73.15
484,A,ITCD,2,Y50-74,11,2023,6.951
485,A,ITCD,2,Y50-74,11,2024,8.845
486,A,ITCD,2,Y50-74,13,2023,45.116
487,A,ITCD,2,Y50-74,13,2024,36.534
488,A,ITCD,2,Y50-74,7,2023,34.169
489,A,ITCD,2,Y50-74,7,2024,31.588
490,A,ITCD,2,Y50-74,99,2023,86.236
491,A,ITCD,2,Y50-74,99,2024,76.968
492,A,ITCD,2,Y55-64,99,2023,43.306
493,A,ITCD,2,Y55-64,99,2024,40.493
494,A,ITCD,2,Y65-74,99,2023,3.647
495,A,ITCD,2,Y65-74,99,2024,3.818
496,A,ITCD,9,Y15-24,99,2023,126.805
497,A,ITCD,9,Y15-24,99,2024,98.824
498,A,ITCD,9,Y15-29,99,2023,197.358
499,A,ITCD,9,Y15-29,99,2024,164.283
500,A,ITCD,9,Y15-34,11,2023,47.469
501,A,ITCD,9,Y15-34,11,2024,44.093
502,A,ITCD,9,Y15-34,13,2023,62.023
503,A,ITCD,9,Y15-34,13,2024,55.892
504,A,ITCD,9,Y15-34,7,2023,142.748
505,A,ITCD,9,Y15-34,7,2024,116.32
506,A,ITCD,9,Y15-34,99,2023,252.24
507,A,ITCD,9,Y15-34,99,2024,216.305
508,A,ITCD,9,Y15-64,11,2023,83.581
509,A,ITCD,9,Y15-64,11,2024,84.115
510,A,ITCD,9,Y15-64,13,2023,224.254
511,A,ITCD,9,Y15-64,13,2024,185.39
512,A,ITCD,9,Y15-64,7,2023,278.439
513,A,ITCD,9,Y15-64,7,2024,237.66
514,A,ITCD,9,Y15-64,99,2023,586.274
515,A,ITCD,9,Y15-64,99,2024,507.164
516,A,ITCD,9,Y15-74,11,2023,84.057
517,A,ITCD,9,Y15-74,11,2024,84.692
518,A,ITCD,9,Y15-74,13,2023,227.767
519,A,ITCD,9,Y15-74,13,2024,188.427
520,A,ITCD,9,Y15-74,7,2023,280.11
521,A,ITCD,9,Y15-74,7,2024,239.361
522,A,ITCD,9,Y15-74,99,2023,591.934
523,A,ITCD,9,Y15-74,99,2024,512.481
524,A,ITCD,9,Y25-34,99,2023,125.435
525,A,ITCD,9,Y25-34,99,2024,117.48
526,A,ITCD,9,Y35-44,99,2023,115.91
527,A,ITCD,9,Y35-44,99,2024,101.974
528,A,ITCD,9,Y35-49,11,2023,25.002
529,A,ITCD,9,Y35-49,11,2024,26.418
530,A,ITCD,9,Y35-49,13,2023,77.35
531,A,ITCD,9,Y35-49,13,2024,60.975
532,A,ITCD,9,Y35-49,7,2023,78.909
533,A,ITCD,9,Y35-49,7,2024,71.504
534,A,ITCD,9,Y35-49,99,2023,181.261
535,A,ITCD,9,Y35-49,99,2024,158.897
536,A,ITCD,9,Y45-54,99,2023,130.308
537,A,ITCD,9,Y45-54,99,2024,117.341
538,A,ITCD,9,Y50-64,11,2023,11.11
539,A,ITCD,9,Y50-64,11,2024,13.604
540,A,ITCD,9,Y50-64,13,2023,84.881
541,A,ITCD,9,Y50-64,13,2024,68.522
542,A,ITCD,9,Y50-64,7,2023,56.782
543,A,ITCD,9,Y50-64,7,2024,49.836
544,A,ITCD,9,Y50-64,99,2023,152.773
545,A,ITCD,9,Y50-64,99,2024,131.962
546,A,ITCD,9,Y50-74,11,2023,11.586
547,A,ITCD,9,Y50-74,11,2024,14.181
548,A,ITCD,9,Y50-74,13,2023,88.394
